entry_utc,exit_utc,closest_approach_utc,duration_hours,min_distance_from_earth_center_km,min_distance_earth_radii
2072-09-11 10:57:33,2072-09-12 04:02:43,2072-09-11 19:30:53,17.09,2333,0.366
2072-09-25 06:21:11,2072-09-25 19:47:48,2072-09-25 13:02:59,13.44,5002,0.785
2072-12-29 02:08:30,2072-12-29 23:35:35,2072-12-29 12:49:18,21.45,2930,0.460
2073-01-25 14:22:36,2073-01-26 05:17:04,2073-01-25 21:48:35,14.91,4432,0.696
2075-06-28 08:26:14,2075-06-28 19:45:08,2075-06-28 14:05:41,11.32,5005,0.786
2075-07-12 02:21:21,2075-07-12 21:24:41,2075-07-12 11:52:16,19.06,3016,0.473
2075-07-26 02:28:12,2075-07-26 20:21:20,2075-07-26 11:25:31,17.89,2131,0.335
2075-08-08 13:25:41,2075-08-09 10:58:21,2075-08-09 00:08:01,21.54,1090,0.171
2075-09-04 23:33:36,2075-09-05 17:51:34,2075-09-05 08:39:35,18.30,3556,0.558
2075-09-18 22:00:46,2075-09-19 07:00:07,2075-09-19 02:30:42,8.99,5945,0.933
2075-10-02 05:51:07,2075-10-02 21:11:20,2075-10-02 13:30:29,15.34,4595,0.721
2075-10-15 07:29:56,2075-10-16 08:52:22,2075-10-15 20:09:54,25.37,235,0.037
2075-10-29 10:24:34,2075-10-29 23:49:06,2075-10-29 17:07:50,13.41,5095,0.800
2075-11-11 09:18:34,2075-11-12 04:52:38,2075-11-11 19:03:51,19.57,3153,0.495
2075-11-25 20:05:14,2075-11-26 01:52:36,2075-11-25 22:59:10,5.79,6156,0.966
2075-12-08 23:05:00,2075-12-09 18:10:39,2075-12-09 08:36:49,19.09,1179,0.185
2078-05-11 01:03:56,2078-05-11 13:21:44,2078-05-11 07:12:50,12.30,4794,0.752
2078-06-07 15:43:19,2078-06-08 11:42:29,2078-06-08 01:44:09,19.99,1164,0.183
2078-06-21 00:45:51,2078-06-21 17:48:27,2078-06-21 09:14:39,17.04,4135,0.649
2078-07-04 22:19:21,2078-07-05 19:49:49,2078-07-05 09:06:50,21.51,2515,0.395
2078-07-18 05:17:08,2078-07-19 01:24:43,2078-07-18 15:18:25,20.13,2763,0.434
2078-07-31 17:35:16,2078-08-01 17:24:46,2078-08-01 05:31:01,23.83,2239,0.351
2078-08-14 09:01:13,2078-08-15 06:09:02,2078-08-14 19:36:07,21.13,1899,0.298
2078-09-10 14:14:14,2078-09-11 12:08:35,2078-09-11 01:15:09,21.91,494,0.078
2078-10-08 00:06:21,2078-10-08 20:33:38,2078-10-08 10:22:45,20.45,2199,0.345
2078-10-21 12:08:43,2078-10-22 06:28:00,2078-10-21 21:18:07,18.32,869,0.136
2078-11-04 20:27:48,2078-11-05 01:04:57,2078-11-04 22:46:08,4.62,6224,0.977
2081-03-23 17:44:10,2081-03-24 04:03:29,2081-03-23 22:54:04,10.32,5396,0.847
2081-04-20 03:15:33,2081-04-21 00:58:34,2081-04-20 14:08:48,21.72,928,0.146
2081-05-17 05:03:24,2081-05-18 03:14:52,2081-05-17 16:10:53,22.19,2913,0.457
2081-07-24 04:19:00,2081-07-24 16:52:52,2081-07-24 10:37:26,12.56,5211,0.818
2081-08-20 11:38:23,2081-08-21 08:48:57,2081-08-20 22:15:10,21.18,1281,0.201
2081-09-03 04:03:24,2081-09-03 21:55:12,2081-09-03 12:59:18,17.86,1305,0.205
2081-09-17 02:29:48,2081-09-17 20:52:02,2081-09-17 11:39:39,18.37,3356,0.527
2081-12-21 15:37:15,2081-12-21 22:54:41,2081-12-21 19:15:43,7.29,6110,0.959
2082-01-17 11:37:49,2082-01-18 06:24:32,2082-01-17 20:59:11,18.78,3516,0.552
2084-03-02 19:31:07,2084-03-03 01:17:44,2084-03-02 22:24:26,5.78,6184,0.971
2084-07-03 03:03:56,2084-07-03 17:01:20,2084-07-03 10:02:53,13.96,4857,0.762
2084-07-16 20:51:44,2084-07-17 14:56:36,2084-07-17 05:54:40,18.08,1092,0.171
2084-07-30 12:45:51,2084-07-31 10:27:47,2084-07-30 23:34:19,21.70,146,0.023
2084-08-13 19:33:35,2084-08-14 06:30:36,2084-08-14 01:02:51,10.95,5328,0.836
2084-08-27 00:55:32,2084-08-27 19:45:44,2084-08-27 10:17:23,18.84,3272,0.514
2084-09-23 10:09:11,2084-09-23 23:47:48,2084-09-23 16:57:29,13.64,5011,0.787
2084-10-06 19:04:45,2084-10-07 15:01:41,2084-10-07 05:03:43,19.95,4022,0.631
2084-10-20 15:34:21,2084-10-21 01:53:16,2084-10-20 20:44:19,10.32,5645,0.886
2084-11-02 12:08:35,2084-11-03 11:30:25,2084-11-02 23:47:30,23.36,1805,0.283
2084-11-16 21:59:56,2084-11-17 03:38:36,2084-11-17 00:49:46,5.64,6167,0.968
2084-11-29 19:07:16,2084-11-30 15:39:37,2084-11-30 05:21:41,20.54,1157,0.182
2084-12-27 20:46:18,2084-12-28 05:40:35,2084-12-28 01:13:11,8.90,5604,0.880
2087-05-30 12:55:13,2087-05-31 07:48:29,2087-05-30 22:22:36,18.89,1108,0.174
2087-06-13 02:22:14,2087-06-13 17:40:22,2087-06-13 09:59:33,15.30,4628,0.726
2087-06-27 02:49:21,2087-06-27 21:45:22,2087-06-27 12:19:07,18.93,3094,0.486
2087-07-10 07:50:40,2087-07-11 04:24:59,2087-07-10 18:04:35,20.57,2494,0.391
2087-07-24 01:45:37,2087-07-25 01:40:15,2087-07-24 13:44:56,23.91,1584,0.249
2087-08-06 12:12:08,2087-08-07 09:49:37,2087-08-06 22:59:37,21.62,1471,0.231
2087-08-19 23:08:07,2087-08-20 16:31:50,2087-08-20 07:49:59,17.40,4637,0.728
2087-09-02 16:25:51,2087-09-03 14:25:59,2087-09-03 03:28:40,22.00,516,0.081
2087-09-29 23:40:47,2087-09-30 21:08:05,2087-09-30 10:28:11,21.46,1332,0.209
2087-10-13 08:33:12,2087-10-13 23:33:11,2087-10-13 16:02:41,15.00,4064,0.638
2087-10-27 13:39:38,2087-10-28 04:41:04,2087-10-27 21:11:06,15.02,4611,0.724
2087-11-10 07:15:58,2087-11-10 21:47:35,2087-11-10 14:31:46,14.53,3819,0.599
2090-04-12 03:27:59,2090-04-12 22:42:49,2090-04-12 13:06:24,19.25,2067,0.324
2090-05-09 10:14:08,2090-05-10 09:36:56,2090-05-09 21:58:02,23.38,402,0.063
2090-06-05 11:40:15,2090-06-06 02:34:48,2090-06-05 19:08:02,14.91,5183,0.814
2090-07-16 07:11:02,2090-07-16 15:51:55,2090-07-16 11:31:58,8.68,5853,0.919
2090-08-12 11:23:17,2090-08-13 07:01:43,2090-08-12 21:15:15,19.64,2723,0.427
2090-08-26 00:38:20,2090-08-26 12:59:42,2090-08-26 06:48:46,12.36,4784,0.751
2090-09-08 23:30:42,2090-09-09 20:23:30,2090-09-09 09:57:06,20.88,1620,0.254
2090-09-22 21:15:43,2090-09-23 13:27:30,2090-09-23 05:22:06,16.20,2969,0.466
2090-10-06 20:17:09,2090-10-07 02:05:53,2090-10-06 23:11:31,5.81,6138,0.963
2091-01-09 15:57:00,2091-01-10 08:10:35,2091-01-10 00:02:17,16.23,4762,0.747
2091-02-06 04:03:34,2091-02-06 13:10:05,2091-02-06 08:36:19,9.11,5743,0.901
2093-02-22 18:28:51,2093-02-23 05:32:51,2093-02-23 00:01:21,11.07,5520,0.866
2093-07-08 17:12:27,2093-07-09 05:51:57,2093-07-08 23:32:12,12.66,4595,0.721
2093-07-22 11:41:37,2093-07-23 08:22:13,2093-07-22 22:00:55,20.68,1810,0.284
2093-08-05 12:36:46,2093-08-06 05:41:37,2093-08-05 21:10:12,17.08,2685,0.421
2093-08-19 00:31:33,2093-08-19 20:39:38,2093-08-19 10:32:21,20.13,2436,0.382
2093-09-15 12:49:01,2093-09-16 02:05:11,2093-09-15 19:25:21,13.27,5082,0.798
2093-10-12 21:52:15,2093-10-13 02:58:31,2093-10-13 00:25:08,5.10,6200,0.973
2093-10-25 19:07:31,2093-10-26 19:48:41,2093-10-26 07:26:51,24.69,1640,0.257
2093-11-21 19:12:54,2093-11-22 17:07:17,2093-11-22 06:07:51,21.91,1724,0.271
2093-12-19 10:04:26,2093-12-20 04:24:33,2093-12-19 19:13:14,18.34,2268,0.356
2096-05-21 09:54:22,2096-05-21 23:41:09,2096-05-21 16:47:46,13.78,4270,0.670
2096-06-04 04:37:19,2096-06-04 14:39:49,2096-06-04 09:38:19,10.04,5674,0.891
2096-06-18 02:03:40,2096-06-18 21:16:25,2096-06-18 11:41:32,19.21,1872,0.294
2096-07-01 09:48:14,2096-07-02 06:07:12,2096-07-01 19:54:13,20.32,2615,0.410
2096-07-15 10:33:30,2096-07-16 05:14:45,2096-07-15 19:55:52,18.69,3768,0.591
2096-07-28 15:26:12,2096-07-29 13:23:58,2096-07-29 02:22:05,21.96,1061,0.167
2096-08-11 03:59:56,2096-08-12 05:19:03,2096-08-11 16:40:44,25.32,509,0.080
2096-08-24 19:35:29,2096-08-25 17:43:18,2096-08-25 06:39:54,22.13,213,0.033
2096-09-07 09:30:56,2096-09-07 11:52:28,2096-09-07 10:41:42,2.36,6341,0.995
2096-09-21 00:57:05,2096-09-21 22:44:05,2096-09-21 11:54:20,21.78,981,0.154
2096-10-04 11:15:32,2096-10-04 16:21:41,2096-10-04 13:48:21,5.10,6181,0.970
2096-10-18 11:09:43,2096-10-19 05:44:40,2096-10-18 20:29:11,18.58,3375,0.530
2096-10-31 22:09:44,2096-11-01 16:45:17,2096-11-01 07:27:01,18.59,60,0.009
2099-04-04 02:17:21,2099-04-04 15:29:58,2099-04-04 08:53:40,13.21,4627,0.726
2099-05-01 13:40:55,2099-05-02 11:19:53,2099-05-02 00:32:24,21.65,99,0.016
2099-05-28 14:59:59,2099-05-29 15:07:15,2099-05-29 03:05:52,24.12,1368,0.215
2099-07-08 10:12:33,2099-07-08 16:56:50,2099-07-08 13:34:57,6.74,6068,0.952
